IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IC_GROUP0;IC_GROUP1;IC_GROUP2
1;Браширование;1;Y;10.10.2024 09:30:00;;/upload/iblock/347/w52x3d7i6wxe1b9fr4qt8ndmahe31603.png;"Браширование-технологический прием обработки древесины при котором
строганную поверхность обрабатывают...";html;;;html;brashirovanie2;500;;;;
8;Браширование;2;Y;01.10.2024 07:58:00;;/upload/iblock/a12/rc8alvw6ngt3vjgp2n0k98h8ywe61xzf.png;"Браширование-технологический прием обработки древесины при котором
строганную поверхность обрабатывают...";html;;;html;brashirovanie1;500;;;;
9;Производство обсады из сосны;3;Y;12.02.2004;;/upload/iblock/7e7/9uax58sih8ozrb2envxnphahr32g9izl.png;Наша компания наладила производство обсадных коробок из сосны. Они изготовляются из отборной древесины,…;html;;;html;waterproof_connection;500;;;;
374;НОВАЯ ОКОННАЯ СИСТЕМА MELKE;374;Y;12.02.2004;;/upload/iblock/347/w52x3d7i6wxe1b9fr4qt8ndmahe31603.png;"Иновационный оконный ПВХ профиль Melke
- стандарт высочайшего качества! ...
Уплотнение MELKE выполнено из лучшего…";text;;;text;novaya_okonnaya_sistema_melke;500;;;;
375;Браширование;375;Y;23.04.2004;;/upload/iblock/a12/rc8alvw6ngt3vjgp2n0k98h8ywe61xzf.png;Браширование-технологический прием обработки древесины при котором строганную поверхность обрабатывают...;text;;;text;brashirovanie;500;;;;
